"alejado","battery_l","battery_t","bw","df_delay","df_saltos","ds","dv_delay","dv_saltos","indice_en_prueba","indice_intervalo","mood","mos","ns","prueba_nro","ram","sdk","st","t_cpu","X_id","X_rev","app_foreground","devid","ts_from","ts_to"
104595,99.3333333333333,33.6,6.06901884968584e-07,195.666666666667,2,6,56,8,1,0,4,3,4,1,1313.66666666667,24,4,36.9666666666667,"31c54b0060fa1a0c1f7ccff3615e336b","1-d71311d7a8574d7fa2a9e0a7b8402edc","","63958117e9438e16",1527697441890,1527697501890
68500,87,31.5666666666667,8.779213679772e-07,79.6666666666667,2,8,30,8,1,0,4,5,4,1,648.333333333333,24,3,31.5666666666667,"31c54b0060fa1a0c1f7ccff3615e7ded","1-9841da6f2b565dc7dc45ae0dce8ee0b9","com.whatsapp","2440f9791015c9aa",1527695210473,1527695270473
131743,69,31.2,1.73333431109482e-05,283,2.4,4,80.6,9,1,0,5,1,3.4,1,300,23,2,39.3333333333333,"31c54b0060fa1a0c1f7ccff3615eb6bd","1-f6adfa27dd86aafc063635315ed5fa24","org.pol.jmgo.qoesurveyor","c8afba09e53d8531",1528215559070,1528215619070
60000,16,29.7,0,35,1,6,19,9,1,0,3,5,4,1,372,24,4,42,"31c54b0060fa1a0c1f7ccff3615f1806","1-1fbe1d4a71af01282006777d6b420666","","90a72847e24050d1",1527624561785,1527624621785
12591,83,31,0,550.333333333333,3,4,226.5,8,1,0,4.5,5,3.37142857142857,1,1275.33333333333,23,4,36.9666666666667,"31c54b0060fa1a0c1f7ccff3615f225f","1-61674981c4567b46bde07073e5e4438b","","22dee25d96b05f3e",1528248232324,1528248292324
479213,41,31.5666666666667,3.39274345427576e-08,111.571428571429,2,8,45.4285714285714,8,1,2,5,3,4,1,1275.33333333333,25,2,0.298666666666667,"31c54b0060fa1a0c1f7ccff3615fb06d","1-86851a182f037b2e58d1a756fbde7cec","","68af49bcc059f325",1527709964192,1527710024192
12503,26.3333333333333,32.2,4.30576823719605e-07,506.666666666667,2,3,58.6666666666667,8,1,53,4,3,4,1,429.666666666667,22,4,39.3333333333333,"31c54b0060fa1a0c1f7ccff3616158c3","1-6fb7336651be14349ae73bbbc4c983a8","","8e16d706819d2e0c",1525915180363,1525915240363
60000,83,32.4,9.12152797453376e-07,271.666666666667,2,4,413,9,1,0,4,3,3.4,1,225.5,23,2,35.0666666666667,"31c54b0060fa1a0c1f7ccff361620d88","1-21d1ec90782771e9e8027b6df38769ce","org.pol.jmgo.qoesurveyor","7bf44203a040cdc1",1528253650352,1528253710352
63958,92,33.6,1.15374877085382e-06,368.666666666667,1,8,78.6666666666667,17,1,0,5,5,3.4,1,602,25,4,40.3486666666667,"31c54b0060fa1a0c1f7ccff3616251af","1-322033c4729a0c02116866d72b1e3991","com.internet.speed.meter.lite","acf1f4860469c6fd",1527542639110,1527542699110
68097,79,28.9333333333333,1.28321701304978e-05,2964.5,3,7,107.5,9,1,0,3,3,3.48571428571429,1,538,23,3,30.125,"31c54b0060fa1a0c1f7ccff3616256fe","1-858cb515f40d9192b4e0981808b438e5","","94693d24cc813c3f",1528324093321,1528324153321
60883,24,29.1666666666667,4.41455842402627e-06,281.333333333333,2,6,53.3333333333333,9,1,0,4,5,3.4,1,790.666666666667,23,4,53.6666666666667,"31c54b0060fa1a0c1f7ccff361626468","1-90017615bee7e450528f71d0d88b8d5e","","21499054c7994fc4",1528397241489,1528397301489
2761,53,36.2,2.8100331661139e-07,83,2,5,56,8,1,16,4,4,4,1,400.4,25,4,35.36,"31c54b0060fa1a0c1f7ccff361630c82","1-c490e11b986ae1f49921530516d9287f","com.whatsapp","7b3d12955096c795",1528918688137,1528918748137
12794,49,36.2,1.09523774603757e-06,73,2,6,45,8,1,0,3.6,5,4,1,1611,23,4,36.2,"31c54b0060fa1a0c1f7ccff361632d64","1-a7332790fd70dce51be23d8be6f04f84","","e2f3a59016564a22",1527632311986,1527632371986
80751,79,27.5,3.92222502958284e-05,191,2,6,144.5,20.5,1,10,4,5,3.4,1,180,23,2,50.6666666666667,"31c54b0060fa1a0c1f7ccff36163c38b","1-a85d91a3d6a675097ef6e999c3589a5a","com.netflix.mediaclient","da864a689e433b5e",1528218070778,1528218130778
62587,99.3333333333333,28.9333333333333,6.11989800169997e-09,232.5,1,3,226.5,17,1,0,3,1,3.35555555555556,1,230,22,4,44,"31c54b0060fa1a0c1f7ccff3616411e9","1-0b0733d8614e5bd1aa552b5746f05178","com.sec.android.app.launcher","751666ecdd98bfd3",1527692714059,1527692774059
119711,56,32.4,7.9426676222063e-07,84.5,2,7,55,9,1,1,5,5,4,1,274.666666666667,24,2.66666666666667,48.3333333333333,"31c54b0060fa1a0c1f7ccff36164220a","1-30c15c82e6e127b35931f81ec43e1ff5","com.whatsapp","c4a9b97bec0deec7",1528227140073,1528227200073
123882,63,33.6,8.47665872235463e-08,550.333333333333,1,8,83.6666666666667,17,1,1,4,3,3.26666666666667,1,729.5,24,4,33.5,"31c54b0060fa1a0c1f7ccff3616465aa","1-3f77e92654b5a7fde0091cf85d684140","org.pol.jmgo.qoesurveyor","ffdd93d674719bbc",1527617781071,1527617841071
8226,46,31.7,3.75097748370861e-07,67,2,6,19,10,1,3,4.5,5,4,1,280,24,2,48.3333333333333,"31c54b0060fa1a0c1f7ccff361657c64","1-615db78b8373488352f3cd960b13fb1a","","11d70c1436d1ce27",1527623213633,1527623273633
217179,84,28.9333333333333,0,292.666666666667,2,6,144.5,20.5,1,0,5,5,4,1,164.25,22,2,35,"31c54b0060fa1a0c1f7ccff36165905c","1-3c4c55e3d973f5397e758ce90cb35249","org.pol.jmgo.qoesurveyor","4261a8320ddd09d0",1528233401122,1528233461122
25892,100,26.95,3.04442925951234e-07,74.5,2,8,14.6666666666667,9,1,0,3.35714285714286,3,4,1,1561,26,3,32.7,"31c54b0060fa1a0c1f7ccff36165991d","1-45837dc4404f706b305d553654059cff","org.pol.jmgo.qoesurveyor","2e9b9b3b97476bf5",1527628142884,1527628202884
58199,89,36.2,1.04236422726288e-05,83,2,8,50.6666666666667,8,1,5,3,5,4,1,849,23,4,38.441,"31c54b0060fa1a0c1f7ccff36165d0be","1-d4582d98829754c92ee383abfafd7116","com.google.android.youtube","1d966fc8f0e98430",1527619585371,1527619645371
