"alejado","battery_l","battery_t","bw","df_delay","df_saltos","ds","dv_delay","dv_saltos","indice_en_prueba","indice_intervalo","mood","mos","ns","prueba_nro","ram","sdk","st","t_cpu","X_id","X_rev","app_foreground","devid","ts_from","ts_to"
104595,71,34.35,6.06901884968584e-07,195.666666666667,2,6,56,8,1,0,4,3,4,1,1313.66666666667,24,4,36.9666666666667,"31c54b0060fa1a0c1f7ccff3615e336b","1-d71311d7a8574d7fa2a9e0a7b8402edc","","63958117e9438e16",1527697441890,1527697501890
68500,87,31.5666666666667,8.779213679772e-07,79.6666666666667,2,8,30,8,1,0,4,5,4,1,648.333333333333,24,3,31.5666666666667,"31c54b0060fa1a0c1f7ccff3615e7ded","1-9841da6f2b565dc7dc45ae0dce8ee0b9","com.whatsapp","2440f9791015c9aa",1527695210473,1527695270473
131743,69,31.2,1.73333431109482e-05,283,2.4,4,80.6,9,1,0,5,1,3.4,1,300,23,4,39.3333333333333,"31c54b0060fa1a0c1f7ccff3615eb6bd","1-f6adfa27dd86aafc063635315ed5fa24","org.pol.jmgo.qoesurveyor","c8afba09e53d8531",1528215559070,1528215619070
196091,65.5,33.35,0,121.5,2,4,56.5,9,1,1,5,5,3.4,4,348.75,23,4,48.25,"31c54b0060fa1a0c1f7ccff3615ec224","1-cdeb2f36daa0119ae7cbbcffbc4da958","com.android.vending","c8afba09e53d8531",1528215929935,1528215989935
91076,61,34.3666666666667,2.03020936317728e-05,513.25,2,4,59.75,9,1,7,5,5,3.4,5,416.666666666667,23,4,49,"31c54b0060fa1a0c1f7ccff3615eef2e","1-ee5bd562a272bcdb98fff249b19642e4","android","c8afba09e53d8531",1528216519825,1528216579825
3618959,100,26.8333333333333,0,116.666666666667,2,4,91.6666666666667,9,1,8,5,5,3.4,3,177,23,4,50.6666666666667,"31c54b0060fa1a0c1f7ccff3615ef60b","1-374a415dd8af880499cefb09537add05","","c8afba09e53d8531",1528220668087,1528220728087
57815,59.3333333333333,30.5666666666667,3.106781820303e-05,200,2,4,37.5,9,1,9,5,5,3.4,2,330,23,4,43.3333333333333,"31c54b0060fa1a0c1f7ccff3615f01c4","1-c3736b6d1df092813287945545fbfe17","com.sec.android.app.launcher","c8afba09e53d8531",1528290492163,1528290552163
60000,16,29.7,0,35,1,6,19,9,1,0,4.72727272727273,5,4,1,372,24,2,42,"31c54b0060fa1a0c1f7ccff3615f1806","1-1fbe1d4a71af01282006777d6b420666","","90a72847e24050d1",1527624561785,1527624621785
12591,85,28.3666666666667,0,191,1,4,150,17,1,0,4,5,3.32222222222222,1,225.5,23,4,48.25,"31c54b0060fa1a0c1f7ccff3615f225f","1-61674981c4567b46bde07073e5e4438b","","22dee25d96b05f3e",1528248232324,1528248292324
188868,34.75,32.55,7.55187413543108e-09,105.4,2,8,47.2,8,1,0,5,2,4,3,1283,25,4,0.3225,"31c54b0060fa1a0c1f7ccff3615fadea","1-c9579caa5d90f52bff45b105880bfbb8","","68af49bcc059f325",1527538050115,1527538110115
