"alejado","battery_l","battery_t","bw","df_delay","df_saltos","ds","dv_delay","dv_saltos","indice_en_prueba","indice_intervalo","mood","mos","ns","prueba_nro","ram","sdk","st","t_cpu","X_id","X_rev","app_foreground","devid","ts_from","ts_to"
104595,89,27.5,2108036.89064559,195.666666666667,2,6,56,8,1,0,3.35714285714286,3,4,1,1313.66666666667,24,4,36.9666666666667,"42f1293b2125e6b8ec45e34c743c3157","1-4b79d8a4af0e6097caf9cb0d9d9fa356","","63958117e9438e16",1527697441890,1527697501890
155969,97,28.3666666666667,315190.161694375,106.5,2,6,55.75,8,2,1,3.6,4,4,1,1334.33333333333,24,2.33333333333333,38.7333333333333,"42f1293b2125e6b8ec45e34c743c355e","1-ef4b8c990f1f5e652e1383d90d9645bb","","63958117e9438e16",1527697493264,1527697553264
202944,89,28.1666666666667,40784.9974888419,573,2,6,52,8,3,2,3.6,4,4,1,1293.25,24,2.5,39.45,"42f1293b2125e6b8ec45e34c743c3f8d","1-c4e550e0bba7229674479b695855f591","","63958117e9438e16",1527697540239,1527697600239
258038,19.3333333333333,36.2,922945.934440187,98,2,6,44.6666666666667,8,4,3,5,5,4,1,1205.66666666667,24,4,41.0666666666667,"42f1293b2125e6b8ec45e34c743c436b","1-043b657692b70392081ef151c9e478f2","","63958117e9438e16",1527697595333,1527697655333
313734,48,36.2,22852.4638975733,110.333333333333,2,6,54.3333333333333,8,5,4,4,4,4,1,1213.33333333333,24,3.33333333333333,42.3333333333333,"42f1293b2125e6b8ec45e34c743c4f31","1-d85bbd00fe48f6976e4445fa52e6ca3d","","63958117e9438e16",1527697651029,1527697711029
368362,53,36.2,10445.437653794,136.333333333333,2,6,78.3333333333333,8,6,5,3.6,2,4,1,1201.33333333333,24,2.33333333333333,43.1333333333333,"42f1293b2125e6b8ec45e34c743c50da","1-f8be3273879d46d920f475c5880db8b0","","63958117e9438e16",1527697705657,1527697765657
424318,56,36.2,26628019.3236715,119,2,6,53.3333333333333,8,7,6,3,1,4,1,1162,24,2,43.8666666666667,"42f1293b2125e6b8ec45e34c743c59de","1-d514aba08b159e8277da8a9e2f22b547","","63958117e9438e16",1527697761613,1527697821613
480565,59.6666666666667,38,165368.562884091,217.666666666667,2,6,55.3333333333333,8,8,7,3,3,4,1,1169.66666666667,24,2,44.5333333333333,"42f1293b2125e6b8ec45e34c743c5c24","1-e91d7e2c1634b8bf727a1eecc340846f","","63958117e9438e16",1527697817860,1527697877860
537573,59.6666666666667,38.2,382127.630073833,330.5,2,6,72.5,8,9,8,3,4,4,1,1171,24,1.66666666666667,45.2333333333333,"42f1293b2125e6b8ec45e34c743c6685","1-bd4bb8b6ea45d0864f709e381fa82aad","","63958117e9438e16",1527697874868,1527697934868
68500,87,31.5666666666667,810284.378652123,79.6666666666667,2,8,30,8,1,0,4,5,4,1,648.333333333333,24,3,31.5666666666667,"42f1293b2125e6b8ec45e34c743c6cce","1-066aa4b367802a8250260a2ab0a1602e","com.whatsapp","2440f9791015c9aa",1527695210473,1527695270473
124180,87,31.7,2703.02176665269,129,2,8,39.75,8,2,1,4,5,4,1,644,24,3,31.7,"42f1293b2125e6b8ec45e34c743c78d8","1-e7fcf64430e901123f80c330fe52cd58","com.whatsapp","2440f9791015c9aa",1527695266153,1527695326153
179333,87,32,119334.480780264,77.5,2,8,31.5,8,3,2,4,5,4,1,637.333333333333,24,3,32,"42f1293b2125e6b8ec45e34c743c8147","1-66c85df47390c3c3fc997bbfe3a0cd37","com.whatsapp","2440f9791015c9aa",1527695321306,1527695381306
251016,87,32.1666666666667,184749.455337691,95.5,2,8,39,8,4,3,4,5,4,1,595,24,3,32.1666666666667,"42f1293b2125e6b8ec45e34c743c90be","1-e07d765935d041bfec584d0017025af6","com.whatsapp","2440f9791015c9aa",1527695392989,1527695452989
296603,86.5,32.65,150895.944671487,131,2,8,25.5,8,5,4,4,5,4,1,568.5,24,4,32.65,"42f1293b2125e6b8ec45e34c743c9d7b","1-c8cdcc198db9c33cc6695bc8fbddce28","com.android.chrome","2440f9791015c9aa",1527695438576,1527695498576
354090,86,33.1333333333333,6522.55203131582,273.333333333333,2,8,70.3333333333333,8,6,5,4,5,4,1,566.666666666667,24,4,33.1333333333333,"42f1293b2125e6b8ec45e34c743ca175","1-d37b02f821574a476789bd2d1b154009","com.android.chrome","2440f9791015c9aa",1527695496063,1527695556063
409308,86,33.3,1002409.63855422,84.75,2,8,31,8,7,6,4,5,4,1,553.666666666667,24,4,33.3,"42f1293b2125e6b8ec45e34c743ca7e0","1-de530976224bd42bdf26be7937eac471","com.android.chrome","2440f9791015c9aa",1527695551281,1527695611281
131743,69,31.2,3732964.37218955,283,2.4,4,80.6,9,1,0,5,1,3.4,1,300,23,1.5,39.3333333333333,"42f1293b2125e6b8ec45e34c743ca9e2","1-b3ec60de6a656b24942ebb6678733200","org.pol.jmgo.qoesurveyor","c8afba09e53d8531",1528215559070,1528215619070
