_id,_rev,alejado,app_foreground,battery_l,battery_t,bw,devid,df_delay,df_saltos,ds,dv_delay,dv_saltos,indice_en_prueba,indice_intervalo,mood,mos,ns,prueba_nro,ram,sdk,st,t_cpu,ts_from,ts_to
42f1293b2125e6b8ec45e34c743c3157,1-4b79d8a4af0e6097caf9cb0d9d9fa356,104595,,,,2108036.890645586,63958117e9438e16,195.66666666666666,2.0,6,56.0,8.0,1,0,,3,4.0,1,1313.6666666666667,24,4.0,36.96666666666667,1527697441890,1527697501890
42f1293b2125e6b8ec45e34c743c355e,1-ef4b8c990f1f5e652e1383d90d9645bb,155969,,,,315190.16169437487,63958117e9438e16,106.5,2.0,6,55.75,8.0,2,1,,4,4.0,1,1334.3333333333333,24,2.3333333333333335,38.733333333333334,1527697493264,1527697553264
42f1293b2125e6b8ec45e34c743c3f8d,1-c4e550e0bba7229674479b695855f591,202944,,,,40784.997488841924,63958117e9438e16,573.0,2.0,6,52.0,8.0,3,2,,4,4.0,1,1293.25,24,2.5,39.45,1527697540239,1527697600239
42f1293b2125e6b8ec45e34c743c436b,1-043b657692b70392081ef151c9e478f2,258038,,,,922945.9344401873,63958117e9438e16,98.0,2.0,6,44.666666666666664,8.0,4,3,,5,4.0,1,1205.6666666666667,24,4.0,41.06666666666667,1527697595333,1527697655333
42f1293b2125e6b8ec45e34c743c4f31,1-d85bbd00fe48f6976e4445fa52e6ca3d,313734,,,,22852.46389757332,63958117e9438e16,110.33333333333333,2.0,6,54.333333333333336,8.0,5,4,,4,4.0,1,1213.3333333333333,24,3.3333333333333335,42.333333333333336,1527697651029,1527697711029
42f1293b2125e6b8ec45e34c743c50da,1-f8be3273879d46d920f475c5880db8b0,368362,,,,10445.437653794004,63958117e9438e16,136.33333333333334,2.0,6,78.33333333333333,8.0,6,5,,2,4.0,1,1201.3333333333333,24,2.3333333333333335,43.13333333333333,1527697705657,1527697765657
42f1293b2125e6b8ec45e34c743c59de,1-d514aba08b159e8277da8a9e2f22b547,424318,,,,26628019.323671497,63958117e9438e16,119.0,2.0,6,53.333333333333336,8.0,7,6,,1,4.0,1,1162.0,24,2.0,43.866666666666674,1527697761613,1527697821613
42f1293b2125e6b8ec45e34c743c5c24,1-e91d7e2c1634b8bf727a1eecc340846f,480565,,,,165368.56288409085,63958117e9438e16,217.66666666666666,2.0,6,55.333333333333336,8.0,8,7,,3,4.0,1,1169.6666666666667,24,2.0,44.53333333333334,1527697817860,1527697877860
42f1293b2125e6b8ec45e34c743c6685,1-bd4bb8b6ea45d0864f709e381fa82aad,537573,,,,382127.6300738327,63958117e9438e16,330.5,2.0,6,72.5,8.0,9,8,,4,4.0,1,1171.0,24,1.6666666666666667,45.23333333333333,1527697874868,1527697934868
42f1293b2125e6b8ec45e34c743c6cce,1-066aa4b367802a8250260a2ab0a1602e,68500,com.whatsapp,87.0,31.566666666666666,810284.378652123,2440f9791015c9aa,79.66666666666667,2.0,8,30.0,8.0,1,0,4.0,5,4.0,1,648.3333333333334,24,3.0,31.566666666666666,1527695210473,1527695270473
